Method='Second radius'
Novel class='omL'
Train_data,Test_data_number,novel_data_number,detected_novel_data_number,novel_class_accuracy,accuracy,Mnew,Fnew,ERR
311,22,5,5,100.000000,77.272727,0.000000,17.647059,31.818182,
311,22,5,4,80.000000,81.818182,20.000000,35.294118,40.909091,
311,22,5,4,80.000000,86.363636,20.000000,41.176471,40.909091,
311,22,5,5,100.000000,86.363636,0.000000,5.882353,13.636364,
311,22,5,5,100.000000,86.363636,0.000000,23.529412,27.272727,
311,22,5,4,80.000000,77.272727,20.000000,17.647059,31.818182,
309,24,7,7,100.000000,83.333333,0.000000,29.411765,33.333333,

Novel class='omL, pp'
Train_data,Test_data_number,novel_data_number,detected_novel_data_number,novel_class_accuracy,accuracy,Mnew,Fnew,ERR

262,71,57,48,84.210526,83.098592,15.789474,14.285714,18.309859,
262,71,57,48,84.210526,85.915493,15.789474,21.428571,16.901408,
262,71,57,48,84.210526,85.915493,15.789474,0.000000,12.676056,
262,71,57,47,82.456140,83.098592,17.543860,7.142857,16.901408,
262,71,57,49,85.964912,85.915493,14.035088,14.285714,15.492958,
263,70,56,50,89.285714,82.857143,10.714286,21.428571,20.000000,
262,71,57,47,82.456140,80.281690,17.543860,14.285714,21.126761,
262,71,57,49,85.964912,83.098592,14.035088,7.142857,16.901408,
261,72,58,49,84.482759,83.333333,15.517241,21.428571,19.444444,
261,72,58,46,79.310345,75.000000,20.689655,7.142857,25.000000,

Novel class='omL, pp,imS'
Train_data,Test_data_number,novel_data_number,detected_novel_data_number,novel_class_accuracy,accuracy,Mnew,Fnew,ERR

260,73,59,51,86.440678,87.671233,13.559322,14.285714,13.698630,
260,73,59,47,79.661017,79.452055,20.338983,7.142857,20.547945,
260,73,59,42,71.186441,72.602740,28.813559,14.285714,28.767123,
260,73,59,49,83.050847,82.191781,16.949153,0.000000,16.438356,
261,72,58,44,75.862069,73.611111,24.137931,14.285714,27.777778,
