Method='max radius'
Novel class='omL'
Train_data,Test_data_number,novel_data_number,detected_novel_data_number,novel_class_accuracy,accuracy,Mnew,Fnew,ERR
311,22,5,4,80.000000,59.090909,20.000000,5.882353,40.909091,
311,22,5,5,100.000000,90.909091,0.000000,11.764706,13.636364,
311,22,5,5,100.000000,86.363636,0.000000,17.647059,22.727273,
311,22,5,4,80.000000,77.272727,20.000000,5.882353,22.727273,
311,22,5,4,80.000000,77.272727,20.000000,29.411765,40.909091,
311,22,5,5,100.000000,90.909091,0.000000,17.647059,18.181818,
311,22,5,5,100.000000,77.272727,0.000000,0.000000,18.181818,

Novel class='omL,pp'
Train_data,Test_data_number,novel_data_number,detected_novel_data_number,novel_class_accuracy,accuracy,Mnew,Fnew,ERR

262,71,57,47,82.456140,77.464789,17.543860,7.142857,22.535211,
262,71,57,48,84.210526,84.507042,15.789474,7.142857,15.492958,
262,71,57,43,75.438596,74.647887,24.561404,7.142857,25.352113,
263,70,56,46,82.142857,82.857143,17.857143,7.142857,17.142857,
Novel class='omL,pp,imS'
Train_data,Test_data_number,novel_data_number,detected_novel_data_number,novel_class_accuracy,accuracy,Mnew,Fnew,ERR

261,72,58,48,82.758621,81.944444,17.241379,7.142857,18.055556,
261,72,58,49,84.482759,83.333333,15.517241,14.285714,18.055556,
260,73,59,49,83.050847,83.561644,16.949153,0.000000,15.068493,
260,73,59,50,84.745763,86.301370,15.254237,14.285714,15.068493,
260,73,59,46,77.966102,79.452055,22.033898,7.142857,20.547945,

Novel class='omL,pp,imS'
Train_data,Test_data_number,novel_data_number,detected_novel_data_number,novel_class_accuracy,accuracy,Mnew,Fnew,ERR

